"Task Name","Description","Priority","Status","Assignee","Due Date","Tags"
"Confirm launch mode","Client must confirm whether May 29 launch is controlled beta/client review or paid production marketplace. Recommendation is controlled beta unless all P0 items are cleared.","Urgent","To Do","Chris Brown / Client Owner","2026-05-28","launch,p0,client"
"Provide production Stripe configuration","Provide STRIPE_SECRET_KEY and STRIPE_WEBHOOK_SECRET, approve webhook endpoint /api/stripe/webhook, and verify checkout.session.completed delivery in production.","Urgent","To Do","Stripe Account Owner","2026-05-28","launch,p0,payments,client"
"Update production Clerk issuer","Confirm production Clerk issuer/domain and update Convex production CLERK_JWT_ISSUER_DOMAIN plus matching Vercel Clerk keys/redirects.","Urgent","To Do","Clerk Account Owner / Engineering","2026-05-28","launch,p0,auth"
"Confirm production app URL/domain","Confirm canonical production domain for NEXT_PUBLIC_APP_URL, auth redirects, Stripe return URLs, email links, and production sharing.","Urgent","To Do","Client / Domain Owner","2026-05-28","launch,p0,ops"
"Approve legal and payment posture","Client/counsel to approve Terms, Privacy, DPA request process, invoice terms, refund/dispute language, and any district procurement positioning.","Urgent","To Do","Client + Counsel","2026-05-28","launch,p0,legal"
"Confirm support inbox and sender","Confirm monitored support inbox and production sender identity; provide RESEND_API_KEY and RESEND_FROM_EMAIL if transactional email is active at launch.","Urgent","To Do","Client / Ops Owner","2026-05-28","launch,p0,email"
"Decide Checkr launch status","Client to decide whether Checkr background checks launch now or are deferred. If active, provide CHECKR_API_KEY, CHECKR_WEBHOOK_SECRET, and CHECKR_PACKAGE.","Urgent","To Do","Client / Ops Owner","2026-05-28","launch,p0,checkr"
"Approve production seed data","Review and approve production districts, educators, demo/client records, and initial gigs before sharing the production link.","Urgent","To Do","Client / Project Owner","2026-05-28","launch,p0,data"
"Patch vulnerable production dependencies","Upgrade or otherwise remediate production dependency vulnerabilities reported by npm audit, including critical/high advisories in framework/auth/payment-adjacent packages.","Urgent","To Do","Engineering","2026-05-29","launch,p0,security"
"Validate district eligibility before checkout","Update checkout so only eligible district users with valid district records can create Stripe sessions; prevent post-payment order creation failures.","Urgent","To Do","Engineering","2026-05-29","launch,p0,payments"
"Wire order lifecycle UI","Expose or intentionally defer order accept, complete, cancel, refund, review, and related lifecycle actions in the app UI.","Urgent","To Do","Engineering","2026-05-29","launch,p0,orders"
"Establish real booking path","Create a clear path from educator browse/profile pages into real gigs or checkout, or mark the current flow as request-only for beta.","High","To Do","Engineering","2026-05-29","launch,p0,marketplace"
"Fix or defer Checkr invite flow","Either authenticate the Checkr invite route correctly with Convex auth or hide/defer the Checkr UI for launch.","Urgent","To Do","Engineering","2026-05-29","launch,p0,checkr"
"Configure monitoring owner","Provide NEXT_PUBLIC_SENTRY_DSN and define who monitors launch errors and incident escalation.","High","To Do","Client / Technical Owner","2026-05-29","launch,p1,monitoring"
"Configure Upstash rate limiting","Provide UPSTASH_REDIS_REST_URL and UPSTASH_REDIS_REST_TOKEN for shared production rate limiting.","High","To Do","Client / Technical Owner","2026-05-29","launch,p1,security"
"Fix lint and e2e launch gates","Update lint scope/config and fix the real app lint error plus outdated smoke test expectation so CI gates are meaningful.","High","To Do","Engineering","2026-05-29","launch,p1,qa"
"Remove hardcoded Turbopack root","Remove or replace local absolute machine path in Next config so builds remain portable.","High","To Do","Engineering","2026-05-29","launch,p1,build"
"Replace or approve placeholder data","Replace hardcoded/demo profile and dashboard values or get explicit client approval for beta/demo usage.","High","To Do","Engineering + Client","2026-05-29","launch,p1,data"
"Run final production smoke test","After env updates and deploy, test home, browse, auth, dashboards, checkout/webhook if enabled, support paths, and role-based access.","Urgent","To Do","Engineering","2026-05-29","launch,p0,qa"
"Send final go/no-go summary","Send client a concise launch decision summary after production smoke test, including known limitations and next steps.","Urgent","To Do","Asala Launch Team","2026-05-29","launch,p0,client"

